TagCodeA,TagCodeB,DescriptionA,DescriptionB,PMI
EAB,MAF,numbers,separate sheet,1.2618071024497917
EB,MAF,abstract elements,separate sheet,-0.046513351698771646
EBA,MAF,geometric shapes,separate sheet,0.025870461596100788
MAF,MCA,separate sheet,woodcut,-0.8770341080356547
EAA,EAB,letters,numbers,-0.18974485908242752
EA,EEB,text,creator signature,0.1017298869638263
EAB,EAC,numbers,symbols,1.1243035786998568
EAB,EAE,numbers,phrases,0.6286266548358578
EAB,EE,numbers,paratext,1.2420438476283615
EAB,EEB,numbers,creator signature,1.428456971859243
EAB,MAE,numbers,title page/frontispiece,0.3024490869471375
EAB,MCD,numbers,movable types,0.6609030578596137
EAC,EAD,symbols,words,0.6097304058700984
EAC,EAE,symbols,phrases,1.4042612875701193
EAC,EB,symbols,abstract elements,0.34205193621888114
EAC,EBA,symbols,geometric shapes,0.5557915987592946
EAC,EC,symbols,concrete elements,-0.06096196887694146
EAC,ECA,symbols,physical objects,-0.02727884262065297
EAC,ED,symbols,plasticity,-0.31501685431946386
EAC,EDA,symbols,light/shadow,-0.26401790511579043
EAC,EDB,symbols,3d and perspective,0.2429480751984756
EAC,EE,symbols,paratext,0.6097304058700984
EAC,EEB,symbols,creator signature,-0.39026959412990164
EAC,MAE,symbols,title page/frontispiece,0.773229138152978
EAC,MAG,symbols,separate page,1.3529549905079872
EAC,MCD,symbols,movable types,0.7166456097866105
EAD,EEB,words,creator signature,0.8061276186736018
EAE,EE,phrases,paratext,1.4453802748957114
EAE,EEB,phrases,creator signature,1.1558736577007263
EB,EE,abstract elements,paratext,-1.5319401788690132
EB,MAE,abstract elements,title page/frontispiece,-1.7834789458649778
EB,MCD,abstract elements,movable types,-0.5770280683975513
EBA,EE,geometric shapes,paratext,-2.2250911119371186
EBA,EEB,geometric shapes,creator signature,-2.9620567061033243
EBA,MAE,geometric shapes,title page/frontispiece,-1.7985579738204451
EBA,MCD,geometric shapes,movable types,-1.8551415021868127
EC,EEB,concrete elements,creator signature,0.5911147277027516
ECA,EEB,physical objects,creator signature,0.5723304340649044
ED,EEB,plasticity,creator signature,0.7659031410641037
EDA,EEB,light/shadow,creator signature,0.8169020902677772
EDB,EE,3d and perspective,paratext,1.4284569718592428
